22.0, 22.0
22.0, 22.0579598645
22.0, 22.0579598645
22.0007904098, 22.1159143392
22.0017784049, 22.1738657823
22.0045446624, 22.2897525001
22.0081010587, 22.4056176614
22.0124474285, 22.5214558789
22.01481807, 22.5793672417
22.0199542111, 22.6951731294
22.0227196809, 22.7530669811
22.0286453545, 22.8688351544
22.0349656934, 22.9845824518
22.0416806241, 23.100307528
22.0491844996, 23.2159841264
22.0570827189, 23.3316344687
22.0657693459, 23.4472282664
22.0793903685, 23.620573531
22.0941930733, 23.7938218872
22.1095863645, 23.9670187682
22.1267503139, 24.1400491466
22.1445040928, 24.3130200005
22.1640260947, 24.4858002206
22.1841370596, 24.6585128782
22.2042480244, 24.8312255358
22.2243589892, 25.0039381934
22.2444699541, 25.176650851
22.263991956, 25.349431071
22.282924768, 25.5222768451
22.3081685174, 25.7527378773
22.3265119195, 25.9256471963
22.350969789, 26.1561929549
22.3687235679, 26.3291638089
22.3923952732, 26.5597916143
22.4160669785, 26.7904194196
22.4332309279, 26.963449798
22.4503948773, 27.1364801763
22.4740665826, 27.3671079817
22.4977382878, 27.597735787
22.5214099931, 27.8283635923
22.5458678626, 28.058909351
22.570325732, 28.2894551097
22.5955694814, 28.5199161418
22.6208132308, 28.7503771739
22.6468425667, 28.9807508007
22.6736571864, 29.2110343441
22.7004718062, 29.4413178876
22.7280713982, 29.6715086709
22.7505358087, 29.8439310107
22.7804883559, 30.0738274638
22.8112245374, 30.3036204606
22.8427439959, 30.53330733
22.8742634543, 30.7629941993
22.908130509, 30.9923466722
22.9427793204, 31.2215823459
22.9860903348, 31.508126938
23.0215205003, 31.7372431478
23.0577316081, 31.9662372304
23.0947232372, 32.1951065241
23.1324949577, 32.4238483685
23.1710463304, 32.6524601046
23.2095977031, 32.8810718407
23.24892828, 33.1095508111
23.2882588569, 33.3380297816
23.3283681807, 33.5663733306
23.3684775045, 33.7947168796
23.4093651091, 34.0229223528
23.4502527137, 34.251127826
23.4919181237, 34.4791925708
23.5335835337, 34.7072573156
23.5752489438, 34.9353220605
23.6169143538, 35.1633868053
23.659357085, 35.3913081706
23.701022495, 35.6193729155
23.7531042576, 35.9044538465
23.7947696676, 36.1325185913
23.8364350776, 36.3605833361
23.8788778088, 36.5885047015
23.92132054, 36.8164260668
23.9637632711, 37.0443474322
23.9967601844, 37.2150674273
24.0399797434, 37.4428427638
24.0839756277, 37.6704694239
24.1271951867, 37.8982447605
24.1696379178, 38.1261661258
24.2226913318, 38.4110678325
24.2643567418, 38.6391325773
24.3060221519, 38.8671973222
24.3581039144, 39.1522782532
24.398991519, 39.3804837264
24.4391008428, 39.6088272754
24.4784314197, 39.8373062459
24.5085134126, 40.0085639076
24.5478439894, 40.2370428781
24.5879533133, 40.465386427
24.6272838901, 40.6938653975
24.6658352629, 40.9224771336
24.7036069833, 41.1512189779
24.7405986124, 41.3800882716
24.7677569433, 41.5518338336
24.7955006651, 41.7234858039
24.8317117729, 41.9524798866
24.8663605844, 42.1817155602
24.892347193, 42.3536423155
24.9171608711, 42.5257422701
24.9494632401, 42.7553203422
24.9731028339, 42.9275854942
25.0030553812, 43.1574819473
25.0249318048, 43.329979875
25.0525313968, 43.5601706584
25.0720533987, 43.7329508784
25.0903968008, 43.9058601974
25.1132820667, 44.1365673686
25.1286753579, 44.3097642496
25.1428873042, 44.4830620672
25.1553260113, 44.6564961802
25.1659901779, 44.8300484448
25.1748786883, 45.0037007048
25.1831750976, 45.1773822599
25.1920636081, 45.3510345198
25.2009521186, 45.5246867798
25.2110245146, 45.6982743941
25.2252434034, 45.9296774135
25.2402511544, 46.1610306102
25.2520984834, 46.3345061238
25.2645371904, 46.5079402368
25.2811221332, 46.7391857209
25.2941520738, 46.9125764174
25.3077730963, 47.085921682
25.3213941189, 47.2592669465
25.3403433806, 47.4903307033
25.3608677689, 47.721259878
25.3821793671, 47.9521177347
25.4058510724, 48.18274554
25.4318804082, 48.4131191667
25.4594800002, 48.6433099501
25.4894325475, 48.8732064031
25.5288318705, 49.1603149898
25.5626989252, 49.3896674628
25.5973477366, 49.6189031364
25.6343393658, 49.8477724301
25.6728907385, 50.0763841662
25.7137783431, 50.3045896395
25.7562210742, 50.5325110048
25.8009927726, 50.7599863425
25.8480887543, 50.986991855
25.8975040924, 51.2135037942
25.9484628111, 51.4396735163
26.0017321356, 51.6653102006
26.0580735574, 51.8901994587
26.1167122069, 52.1145006914
26.1776419496, 52.3381904334
26.2408564113, 52.5612452833
26.3071068365, 52.7834173233
26.3756261793, 53.0049001306
26.4464072714, 53.2256705344
26.5209413743, 53.4452023128
26.5992068287, 53.6634316712
26.7025980286, 53.9341601459
26.7904558704, 54.1487074224
26.8834085544, 54.3610970002
26.9814031395, 54.5712079126
27.0857977597, 54.778213462
27.1957989748, 54.9822949822
27.2834694024, 55.1324549274
27.4064507864, 55.328987656
27.5021780358, 55.4741441464
27.6013419753, 55.6169749067
27.6693851717, 55.7108232258
27.7390182382, 55.8034980315
27.8102209398, 55.8949723931
27.8823555198, 55.9857137063
27.9560264129, 56.0752122151
28.0683532389, 56.2079404982
28.1824796607, 56.3391246163
28.2983844529, 56.4687401715
28.4169162806, 56.5959577757
28.4973717347, 56.6794101781
28.5795173741, 56.761199404
28.6630452729, 56.8415764758
28.7479311585, 56.9205180364
28.8341503636, 56.9980011457
28.9219364461, 57.0737044302
29.0110002263, 57.1479002966
29.101315823, 57.2205671842
29.1928569909, 57.2916839765
29.2855971287, 57.3612300072
29.3792770552, 57.4295048556
29.5211804937, 57.5299913082
